date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab,away_avg,home_avg,raw_date,game_id
2025-08-16,,한화,NC,6,9,패,승,7.0,12.0,2.0,2.0,32.0,34.0,0.2188,0.3529,20250816,20250816HHNC0
2025-08-16,,KT,키움,3,4,패,승,5.0,7.0,1.0,1.0,32.0,31.0,0.1562,0.2258,20250816,20250816KTWO0
2025-08-17,,KT,키움,5,3,승,패,8.0,6.0,0.0,1.0,36.0,36.0,0.2222,0.1667,20250817,20250817KTWO0
2025-08-17,,KIA,두산,2,4,패,승,5.0,9.0,1.0,0.0,31.0,32.0,0.1613,0.2812,20250817,20250817HTOB0
2025-08-17,,LG,SSG,6,1,승,패,12.0,10.0,3.0,1.0,35.0,34.0,0.3429,0.2941,20250817,20250817LGSK0
2025-08-17,,삼성,롯데,8,8,무,무,9.0,10.0,2.0,1.0,42.0,41.0,0.2143,0.2439,20250817,20250817SSLT0
2025-08-17,,한화,NC,4,9,패,승,8.0,11.0,2.0,0.0,34.0,36.0,0.2353,0.3056,20250817,20250817HHNC0
2025-08-19,,키움,KIA,9,12,패,승,14.0,14.0,3.0,4.0,40.0,38.0,0.35,0.3684,20250819,20250819WOHT0
2025-08-19,,SSG,KT,4,5,패,승,12.0,11.0,1.0,1.0,36.0,31.0,0.3333,0.3548,20250819,20250819SKKT0
2025-08-19,,삼성,NC,6,2,승,패,6.0,7.0,1.0,0.0,32.0,34.0,0.1875,0.2059,20250819,20250819SSNC0
2025-08-19,,롯데,LG,2,5,패,승,10.0,9.0,0.0,1.0,38.0,30.0,0.2632,0.3,20250819,20250819LTLG0
2025-08-19,,롯데,LG,2,5,패,승,10.0,9.0,0.0,1.0,38.0,30.0,0.2632,0.3,20250819,20250819LTLG0
2025-08-19,,키움,KIA,9,12,패,승,14.0,14.0,3.0,4.0,40.0,38.0,0.35,0.3684,20250819,20250819WOHT0
2025-08-19,,SSG,KT,4,5,패,승,12.0,11.0,1.0,1.0,36.0,31.0,0.3333,0.3548,20250819,20250819SKKT0
