date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab
2025-03-30,잠실,삼성,두산,3,2,승,패,5,4,0,1,30,30
2025-03-30,사직,KT,롯데,4,4,무,무,7,10,0,1,37,37
2025-03-30,창원,LG,NC,0,0,예정,예정,0,0,0,0,0,0
2025-03-30,고척,SSG,키움,8,2,승,패,6,7,1,1,30,32
2025-03-30,대전,KIA,한화,5,3,승,패,11,6,1,0,35,32
