date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab
2025-05-05,잠실,LG,두산,2,5,패,승,7,10,0,1,31,33
2025-05-05,사직,SSG,롯데,7,1,승,패,10,3,1,0,36,28
2025-05-05,수원,NC,KT,6,2,승,패,10,7,0,1,35,34
2025-05-05,고척,KIA,키움,13,1,승,패,15,7,1,0,41,33
2025-05-05,대전,삼성,한화,1,3,패,승,5,9,1,1,30,32
