date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab
2025-06-28,잠실,KIA,LG,9,8,승,패,14,17,1,2,39,45
2025-06-28,문학,한화,SSG,5,2,승,패,7,8,1,2,32,32
2025-06-28,사직,KT,롯데,4,0,승,패,13,7,0,0,37,32
2025-06-28,창원,두산,NC,1,3,패,승,4,8,0,1,29,29
2025-06-28,고척,삼성,키움,0,9,패,승,6,10,0,4,33,36
