date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab
2025-04-22,잠실,NC,LG,6,5,승,패,12,9,1,2,40,35
2025-04-22,사직,한화,롯데,0,0,예정,예정,0,0,0,0,0,0
2025-04-22,대구,KIA,삼성,0,0,예정,예정,0,0,0,0,0,0
2025-04-22,수원,SSG,KT,3,9,패,승,9,15,0,1,35,35
2025-04-22,고척,두산,키움,4,5,패,승,8,9,2,1,32,31
