date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab
2025-04-02,잠실,키움,두산,3,5,패,승,5,7,1,1,33,33
2025-04-02,창원,SSG,NC,0,0,예정,예정,0,0,0,0,0,0
2025-04-02,수원,LG,KT,5,9,패,승,9,9,1,1,34,32
2025-04-02,광주,삼성,KIA,4,2,승,패,7,4,0,1,32,31
2025-04-02,대전,롯데,한화,6,2,승,패,10,8,2,0,34,33
