date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab
2025-05-10,고척,한화,키움,9,1,승,패,16,4,0,1,40,31
2025-05-10,잠실,NC,두산,6,6,무,무,9,10,2,2,35,36
2025-05-10,문학,KIA,SSG,5,4,승,패,3,9,0,2,26,36
2025-05-10,수원,롯데,KT,8,5,승,패,16,13,1,2,40,39
2025-05-10,잠실,NC,두산,0,0,예정,예정,0,0,0,0,0,0
2025-05-10,문학,KIA,SSG,0,0,예정,예정,0,0,0,0,0,0
2025-05-10,대구,LG,삼성,5,4,승,패,13,8,1,1,35,33
2025-05-10,수원,롯데,KT,0,0,예정,예정,0,0,0,0,0,0
2025-05-10,대구,LG,삼성,4,1,승,패,8,4,1,0,34,31
