date,stadium,away_team,home_team,away_score,home_score,away_result,home_result,away_hit,home_hit,away_hr,home_hr,away_ab,home_ab
2025-07-06,고척,한화,키움,10,1,승,패,12,4,4,0,39,33
2025-07-06,잠실,KT,두산,7,8,패,승,9,10,0,2,32,33
2025-07-06,대구,LG,삼성,4,2,승,패,10,8,1,1,36,34
2025-07-06,창원,SSG,NC,2,3,패,승,7,7,0,0,33,28
2025-07-06,광주,롯데,KIA,5,2,승,패,14,8,0,0,37,34
